participant_id,run_timestamp,key_black,key_white,keymap_flip,block,block_idx,trial,global_trial,difficulty_mode,delta_fixed_mean,delta_fixed_sd,delta_stair_realised,delta_stair_mean,delta_step_down_used,delta_step_up_used,vblack_prop,n_vblack,n_vwhite,auto_on,aid_accuracy_setting,stimulus,aid_label,aid_correct,aid_onset_ms,aid_onset_ms_rel,response,correct,feedback,rt_s,rt_ms
7,20260325_141148,J,D,True,AUTOMATION2,4,1,1301,fixed_delta,0.033374705876577364,0.013109562710342202,,,,,0.4591601188752151,1653,1947,1,0.65,WHITE,WHITE,True,0,0.0013999997463542968,WHITE,True,CORRECT,1.1209350000026461,1120.9350000026461
7,20260325_141148,J,D,True,AUTOMATION2,4,2,1302,fixed_delta,0.033374705876577364,0.013109562710342202,,,,,0.4868928317774777,1753,1847,1,0.65,WHITE,BLACK,False,0,0.004400000761961564,BLACK,False,INCORRECT,1.050612099999853,1050.612099999853
7,20260325_141148,J,D,True,AUTOMATION2,4,3,1303,fixed_delta,0.033374705876577364,0.013109562710342202,,,,,0.44802554391495647,1613,1987,1,0.65,WHITE,BLACK,False,0,0.0032999996619764715,WHITE,True,CORRECT,0.6700479999999516,670.0479999999516
7,20260325_141148,J,D,True,AUTOMATION2,4,4,1304,fixed_delta,0.033374705876577364,0.013109562710342202,,,,,0.5377608889881841,1936,1664,1,0.65,BLACK,BLACK,True,0,0.0010999974620062858,BLACK,True,CORRECT,0.6050198999982968,605.0198999982968
7,20260325_141148,J,D,True,AUTOMATION2,4,5,1305,fixed_delta,0.033374705876577364,0.013109562710342202,,,,,0.46955833530539076,1690,1910,1,0.65,WHITE,WHITE,True,0,0.0008999995770864189,WHITE,True,CORRECT,0.5307582000023103,530.7582000023103
7,20260325_141148,J,D,True,AUTOMATION2,4,6,1306,fixed_delta,0.033374705876577364,0.013109562710342202,,,,,0.46270773738436677,1666,1934,1,0.65,WHITE,WHITE,True,0,0.0015000005078036338,WHITE,True,CORRECT,0.7342467999988003,734.2467999988003
7,20260325_141148,J,D,True,AUTOMATION2,4,7,1307,fixed_delta,0.033374705876577364,0.013109562710342202,,,,,0.5279386566123041,1901,1699,1,0.65,BLACK,BLACK,True,0,0.0011999982234556228,BLACK,True,CORRECT,0.5118784999976924,511.8784999976924
7,20260325_141148,J,D,True,AUTOMATION2,4,8,1308,fixed_delta,0.033374705876577364,0.013109562710342202,,,,,0.48096878932663323,1731,1869,1,0.65,WHITE,WHITE,True,0,0.000900003215065226,WHITE,True,CORRECT,0.8209495000010065,820.9495000010065
7,20260325_141148,J,D,True,AUTOMATION2,4,9,1309,fixed_delta,0.033374705876577364,0.013109562710342202,,,,,0.4680460986983448,1685,1915,1,0.65,WHITE,WHITE,True,0,0.0012000018614344299,WHITE,True,CORRECT,0.49184020000029705,491.84020000029705
7,20260325_141148,J,D,True,AUTOMATION2,4,10,1310,fixed_delta,0.033374705876577364,0.013109562710342202,,,,,0.47438161715962013,1708,1892,1,0.65,WHITE,BLACK,False,0,0.0011000010999850929,BLACK,False,INCORRECT,0.4670795999991242,467.0795999991242
7,20260325_141148,J,D,True,AUTOMATION2,4,11,1311,fixed_delta,0.033374705876577364,0.013109562710342202,,,,,0.4873379515340709,1754,1846,1,0.65,WHITE,WHITE,True,0,0.0010000003385357559,WHITE,True,CORRECT,1.965091099998972,1965.091099998972
7,20260325_141148,J,D,True,AUTOMATION2,4,12,1312,fixed_delta,0.033374705876577364,0.013109562710342202,,,,,0.5106666220379226,1838,1762,1,0.65,BLACK,WHITE,False,0,0.0011999982234556228,BLACK,True,CORRECT,0.5475952999986475,547.5952999986475
7,20260325_141148,J,D,True,AUTOMATION2,4,13,1313,fixed_delta,0.033374705876577364,0.013109562710342202,,,,,0.5090197563596232,1832,1768,1,0.65,BLACK,WHITE,False,0,0.0011999982234556228,BLACK,True,CORRECT,0.6571103999995103,657.1103999995103
7,20260325_141148,J,D,True,AUTOMATION2,4,14,1314,fixed_delta,0.033374705876577364,0.013109562710342202,,,,,0.4687257014074809,1687,1913,1,0.65,WHITE,WHITE,True,0,0.0011000010999850929,WHITE,True,CORRECT,0.8196750999995857,819.6750999995857
