participant_id,run_timestamp,key_black,key_white,keymap_flip,block,block_idx,trial,global_trial,difficulty_mode,delta_fixed_mean,delta_fixed_sd,delta_stair_realised,delta_stair_mean,delta_step_down_used,delta_step_up_used,vblack_prop,n_vblack,n_vwhite,auto_on,aid_accuracy_setting,stimulus,aid_label,aid_correct,aid_onset_ms,aid_onset_ms_rel,response,correct,feedback,rt_s,rt_ms
4,20260325_121644,D,J,False,AUTOMATION2,3,1,801,fixed_delta,0.04274353132498164,0.014104974879815414,,,,,0.541624319531831,1950,1650,1,0.65,BLACK,WHITE,False,0,0.0013999997463542968,WHITE,False,INCORRECT,2.9099680999988777,2909.9680999988777
4,20260325_121644,D,J,False,AUTOMATION2,3,2,802,fixed_delta,0.04274353132498164,0.014104974879815414,,,,,0.5437586767555603,1958,1642,1,0.65,BLACK,WHITE,False,0,0.0009000013960758224,WHITE,False,INCORRECT,1.847537600000578,1847.537600000578
4,20260325_121644,D,J,False,AUTOMATION2,3,3,803,fixed_delta,0.04274353132498164,0.014104974879815414,,,,,0.47297717190968847,1703,1897,1,0.65,WHITE,WHITE,True,0,0.0011000010999850929,WHITE,True,CORRECT,1.3149140999994415,1314.9140999994415
4,20260325_121644,D,J,False,AUTOMATION2,3,4,804,fixed_delta,0.04274353132498164,0.014104974879815414,,,,,0.5273223114921174,1898,1702,1,0.65,BLACK,BLACK,True,0,0.0018000009731622413,BLACK,True,CORRECT,1.7868006999997306,1786.8006999997306
4,20260325_121644,D,J,False,AUTOMATION2,3,5,805,fixed_delta,0.04274353132498164,0.014104974879815414,,,,,0.4512741297343593,1625,1975,1,0.65,WHITE,WHITE,True,0,0.0010000003385357559,WHITE,True,CORRECT,0.9122466000007989,912.2466000007989
4,20260325_121644,D,J,False,AUTOMATION2,3,6,806,fixed_delta,0.04274353132498164,0.014104974879815414,,,,,0.5634172549367887,2028,1572,1,0.65,BLACK,BLACK,True,0,0.0012999989849049598,WHITE,False,INCORRECT,8.741298599999936,8741.298599999936
4,20260325_121644,D,J,False,AUTOMATION2,3,7,807,fixed_delta,0.04274353132498164,0.014104974879815414,,,,,0.4514930304043806,1625,1975,1,0.65,WHITE,WHITE,True,0,0.0014999986888142303,WHITE,True,CORRECT,1.3954908999985491,1395.4908999985491
4,20260325_121644,D,J,False,AUTOMATION2,3,8,808,fixed_delta,0.04274353132498164,0.014104974879815414,,,,,0.44646941593566336,1607,1993,1,0.65,WHITE,WHITE,True,0,0.0010000003385357559,WHITE,True,CORRECT,2.1934666999986803,2193.4666999986803
4,20260325_121644,D,J,False,AUTOMATION2,3,9,809,fixed_delta,0.04274353132498164,0.014104974879815414,,,,,0.45741508495512423,1647,1953,1,0.65,WHITE,WHITE,True,0,0.0014999986888142303,WHITE,True,CORRECT,0.7309078999987833,730.9078999987833
4,20260325_121644,D,J,False,AUTOMATION2,3,10,810,fixed_delta,0.04274353132498164,0.014104974879815414,,,,,0.457920296294382,1649,1951,1,0.65,WHITE,WHITE,True,0,0.0010000003385357559,WHITE,True,CORRECT,1.438774199999898,1438.774199999898
4,20260325_121644,D,J,False,AUTOMATION2,3,11,811,fixed_delta,0.04274353132498164,0.014104974879815414,,,,,0.472112387493914,1700,1900,1,0.65,WHITE,WHITE,True,0,0.0014000015653437003,WHITE,True,CORRECT,3.5521117000007507,3552.1117000007507
4,20260325_121644,D,J,False,AUTOMATION2,3,12,812,fixed_delta,0.04274353132498164,0.014104974879815414,,,,,0.4309000588604533,1551,2049,1,0.65,WHITE,WHITE,True,0,0.0012999989849049598,WHITE,True,CORRECT,0.7061002999998891,706.1002999998891
4,20260325_121644,D,J,False,AUTOMATION2,3,13,813,fixed_delta,0.04274353132498164,0.014104974879815414,,,,,0.5442943679512677,1959,1641,1,0.65,BLACK,WHITE,False,0,0.0011000010999850929,BLACK,True,CORRECT,2.5293799999999464,2529.3799999999464
4,20260325_121644,D,J,False,AUTOMATION2,3,14,814,fixed_delta,0.04274353132498164,0.014104974879815414,,,,,0.4671981140328706,1682,1918,1,0.65,WHITE,BLACK,False,0,0.0012000000424450263,WHITE,True,CORRECT,2.1666753999998036,2166.6753999998036
4,20260325_121644,D,J,False,AUTOMATION2,3,15,815,fixed_delta,0.04274353132498164,0.014104974879815414,,,,,0.5405317218205778,1946,1654,1,0.65,BLACK,BLACK,True,0,0.0011000010999850929,BLACK,True,CORRECT,1.2695467000012286,1269.5467000012286
4,20260325_121644,D,J,False,AUTOMATION2,3,16,816,fixed_delta,0.04274353132498164,0.014104974879815414,,,,,0.4396498720168733,1583,2017,1,0.65,WHITE,BLACK,False,0,0.0015999994502635673,WHITE,True,CORRECT,0.8911797000000661,891.1797000000661
4,20260325_121644,D,J,False,AUTOMATION2,3,17,817,fixed_delta,0.04274353132498164,0.014104974879815414,,,,,0.5245428392187145,1888,1712,1,0.65,BLACK,BLACK,True,0,0.0017000002117129043,BLACK,True,CORRECT,1.2593035000008967,1259.3035000008967
4,20260325_121644,D,J,False,AUTOMATION2,3,18,818,fixed_delta,0.04274353132498164,0.014104974879815414,,,,,0.5388943492942966,1940,1660,1,0.65,BLACK,BLACK,True,0,0.0010999992809956893,BLACK,True,CORRECT,2.486650999999256,2486.650999999256
4,20260325_121644,D,J,False,AUTOMATION2,3,19,819,fixed_delta,0.04274353132498164,0.014104974879815414,,,,,0.48218741490759914,1736,1864,1,0.65,WHITE,WHITE,True,0,0.0013999997463542968,WHITE,True,CORRECT,2.456088799999634,2456.088799999634
