participant_id,run_timestamp,key_black,key_white,keymap_flip,block,block_idx,trial,global_trial,difficulty_mode,delta_fixed_mean,delta_fixed_sd,delta_stair_realised,delta_stair_mean,delta_step_down_used,delta_step_up_used,vblack_prop,n_vblack,n_vwhite,auto_on,aid_accuracy_setting,stimulus,aid_label,aid_correct,aid_onset_ms,aid_onset_ms_rel,response,correct,feedback,rt_s,rt_ms
1,20260325_120141,D,J,False,AUTOMATION2,4,1,1301,fixed_delta,0.04926863410845236,0.011780794413821632,,,,,0.4453946737360556,1603,1997,1,0.65,WHITE,BLACK,False,0,0.0015029982023406774,WHITE,True,CORRECT,3.0179214919990045,3017.9214919990045
1,20260325_120141,D,J,False,AUTOMATION2,4,2,1302,fixed_delta,0.04926863410845236,0.011780794413821632,,,,,0.5352559490085451,1927,1673,1,0.65,BLACK,WHITE,False,0,0.0015030018403194845,WHITE,False,INCORRECT,1.3767172950028908,1376.7172950028908
1,20260325_120141,D,J,False,AUTOMATION2,4,3,1303,fixed_delta,0.04926863410845236,0.011780794413821632,,,,,0.5546648649694286,1997,1603,1,0.65,BLACK,WHITE,False,0,0.0018020000425167382,WHITE,False,INCORRECT,3.1198830449975503,3119.8830449975503
1,20260325_120141,D,J,False,AUTOMATION2,4,4,1304,fixed_delta,0.04926863410845236,0.011780794413821632,,,,,0.5404332429151012,1946,1654,1,0.65,BLACK,WHITE,False,0,0.0015019977581687272,WHITE,False,INCORRECT,2.9611243799990916,2961.1243799990916
1,20260325_120141,D,J,False,AUTOMATION2,4,5,1305,fixed_delta,0.04926863410845236,0.011780794413821632,,,,,0.45060863202808676,1622,1978,1,0.65,WHITE,BLACK,False,0,0.0015030018403194845,WHITE,True,CORRECT,2.721305407001637,2721.305407001637
1,20260325_120141,D,J,False,AUTOMATION2,4,6,1306,fixed_delta,0.04926863410845236,0.011780794413821632,,,,,0.455788154709534,1641,1959,1,0.65,WHITE,BLACK,False,0,0.0015020013961475343,WHITE,True,CORRECT,1.9369113620014105,1936.9113620014105
1,20260325_120141,D,J,False,AUTOMATION2,4,7,1307,fixed_delta,0.04926863410845236,0.011780794413821632,,,,,0.5528014036638103,1990,1610,1,0.65,BLACK,WHITE,False,0,0.0018030004866886884,WHITE,False,INCORRECT,2.7398960430000443,2739.8960430000443
1,20260325_120141,D,J,False,AUTOMATION2,4,8,1308,fixed_delta,0.04926863410845236,0.011780794413821632,,,,,0.5460415389448463,1966,1634,1,0.65,BLACK,BLACK,True,0,0.0018030004866886884,BLACK,True,CORRECT,2.096412186001544,2096.412186001544
1,20260325_120141,D,J,False,AUTOMATION2,4,9,1309,fixed_delta,0.04926863410845236,0.011780794413821632,,,,,0.5945833600550691,2141,1459,1,0.65,BLACK,BLACK,True,0,0.0021039995772298425,BLACK,True,CORRECT,0.7563034710001375,756.3034710001375
1,20260325_120141,D,J,False,AUTOMATION2,4,10,1310,fixed_delta,0.04926863410845236,0.011780794413821632,,,,,0.5256352251884886,1892,1708,1,0.65,BLACK,WHITE,False,0,0.0015020013961475343,WHITE,False,INCORRECT,4.162656652999431,4162.656652999431
